region,year,category,subcategory,scenario,annual_consumption
VIC,2018,Native,Native,Actual,43446.82
VIC,2018,SmallNonScheduledGeneration,ONSG generation,Actual,927.22375
VIC,2018,SmallNonScheduledGeneration,PVNSG generation,Actual,48.305992
NEM,2019,AuxiliaryLoads,,Actual,10338.547
NEM,2019,Losses,Distribution losses,Actual,5937.2124
NEM,2019,Losses,Transmission losses,Actual,3751.9233
NEM,2019,Operational,,Actual,182024.98
NEM,2019,OperationalGen,,Actual,192363.53
NSW,2019,AuxiliaryLoads,,Actual,3095.7874
NSW,2019,Losses,Distribution losses,Actual,2230.7285
NSW,2019,Losses,Transmission losses,Actual,1288.0006
NSW,2019,Operational,,Actual,67586.7
NSW,2019,OperationalGen,,Actual,70682.484
QLD,2019,AuxiliaryLoads,,Actual,3859.707
QLD,2019,Losses,Distribution losses,Actual,1412.1487
QLD,2019,Losses,Transmission losses,Actual,1098.5922
QLD,2019,Operational,,Actual,50710.438
QLD,2019,OperationalGen,,Actual,54570.145
SA,2019,AuxiliaryLoads,,Actual,290.42807
SA,2019,Losses,Distribution losses,Actual,544.80444
SA,2019,Losses,Transmission losses,Actual,262.63577
SA,2019,Operational,,Actual,12075.583
SA,2019,OperationalGen,,Actual,12366.011
TAS,2019,AuxiliaryLoads,,Actual,113.320274
TAS,2019,Losses,Distribution losses,Actual,213.76347
TAS,2019,Losses,Transmission losses,Actual,206.55928
TAS,2019,Operational,,Actual,10195.381
VIC,2019,AuxiliaryLoads,,Actual,2979.3044
VIC,2019,Losses,Distribution losses,Actual,1535.7672
VIC,2019,Losses,Transmission losses,Actual,896.1355
NEM,2020,AuxiliaryLoads,,Central,10153.156
NEM,2020,AuxiliaryLoads,,Slow change,10465.096
NEM,2020,AuxiliaryLoads,,Step change,9704.854
NEM,2020,Business,Business SNSG offset,Central,-4674.242
NEM,2020,Business,Business SNSG offset,Fast change,-4684.861
NEM,2020,Business,Business SNSG offset,High DER,-4760.4023
NEM,2020,Business,Business SNSG offset,Slow change,-4542.546
NEM,2020,Business,Business SNSG offset,Step change,-4775.3228
NEM,2020,Business,CSG,Central,6402.5215
NEM,2020,Business,CSG,Fast change,6402.5215
NEM,2020,Business,CSG,High DER,6402.5215
NEM,2020,Business,CSG,Slow change,5583.0703
NEM,2020,Business,CSG,Step change,6893.2866
NEM,2020,Business,Large industrial loads,Central,43550.242
NEM,2020,Business,Large industrial loads,Fast change,43550.242
NEM,2020,Business,Large industrial loads,High DER,43550.242
NEM,2020,Business,Large industrial loads,Slow change,42843.945
NEM,2020,Business,Large industrial loads,Step change,43693.17
NEM,2020,Business,Small to medium enterprises,Central,81984.08
NEM,2020,Business,Small to medium enterprises,Fast change,81941.09
NEM,2020,Business,Small to medium enterprises,High DER,81269.5
NEM,2020,Business,Small to medium enterprises,Slow change,80462.47
NEM,2020,Business,Small to medium enterprises,Step change,83361.22
NEM,2020,ElectricVehicles,EV Load,Central,36.130653
NEM,2020,ElectricVehicles,EV Load,Fast change,45.702915
NEM,2020,ElectricVehicles,EV Load,High DER,45.702915
NEM,2020,ElectricVehicles,EV Load,Slow change,32.577126
NEM,2020,ElectricVehicles,EV Load,Step change,66.95957
NEM,2020,EnergyEfficiency,Business,Central,2028.8289
NEM,2020,EnergyEfficiency,Business,Fast change,2028.8289
NEM,2020,EnergyEfficiency,Business,High DER,2028.8289
NEM,2020,EnergyEfficiency,Business,Slow change,1778.8121
NEM,2020,EnergyEfficiency,Business,Step change,2102.3127
NEM,2020,EnergyEfficiency,Residential,Central,702.29877
NEM,2020,EnergyEfficiency,Residential,Fast change,702.29877
NEM,2020,EnergyEfficiency,Residential,High DER,702.29877
NEM,2020,EnergyEfficiency,Residential,Slow change,669.01276
NEM,2020,EnergyEfficiency,Residential,Step change,713.7764
NEM,2020,Losses,Distribution losses,Central,6909.4
