id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
193,Camperdown,NM,1914-01-01,1914CAMPERDOWN,,,8,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.8
194,Casterton,NM,1914-01-01,1914CASTERTON,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
195,Charlton,NM,1914-01-01,1914CHARLTON,,,8,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
196,Coleraine,NM,1914-01-01,1914COLERAINE,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
197,Donald,NM,1914-01-01,1914DONALD,,,6,6,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
198,Drouin,NM,1914-01-01,1914DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
199,Eaglehawk,NM,1914-01-01,1914EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
200,Euroa,NM,1914-01-01,1914EUROA,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
201,Footscray,M,1914-01-01,1914FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
202,Geelong,NM,1914-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,,,3,,,3,2,1,,,,,,,,,,,,,,,,,,,,3.928571429
203,Scalehamilton,NM,1914-01-01,1914SCALEHAMILTON,,,9,6,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
204,Heathcote,NM,1914-01-01,1914HEATHCOTE,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
205,Hopetoun,NM,1914-01-01,1914HOPETOUN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
206,Horsham,NM,1914-01-01,1914HORSHAM,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
207,Kerang,NM,1914-01-01,1914KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
208,Kilmore,NM,1914-01-01,1914KILMORE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
209,Koroit,NM,1914-01-01,1914KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
210,Poowong,NM,1914-01-01,1914POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
211,Kyabram,NM,1914-01-01,1914KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
212,Leon,NM,1914-01-01,1914LEON,,,7.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
213,Winchelsea,NM,1914-01-01,1914WINCHELSEA,,,2.630136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.630136986
214,Maffra,NM,1914-01-01,1914MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
215,Mansfield,NM,1914-01-01,1914MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
216,Mildura,NM,1914-01-01,1914MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
217,Mortlake,NM,1914-01-01,1914MORTLAKE,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
218,Goulburn,NM,1914-01-01,1914GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
219,Nhill,NM,1914-01-01,1914NHILL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
220,Numurkah,NM,1914-01-01,1914NUMURKAH,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
221,Portmelbourne,M,1914-01-01,1914PORTMELBOURNE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
222,Rainbow,NM,1914-01-01,1914RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
223,Rochester,NM,1914-01-01,1914ROCHESTER,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
224,Rutherglen,NM,1914-01-01,1914RUTHERGLEN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
225,Shepparton,NM,1914-01-01,1914SHEPPARTON,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
226,Sunbury,NM,1914-01-01,1914SUNBURY,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
227,Tatura,NM,1914-01-01,1914TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
228,Terang,NM,1914-01-01,1914TERANG,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
229,Toora,NM,1914-01-01,1914TOORA,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
230,Wodonga,NM,1914-01-01,Wodonga,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
231,Woodend,NM,1914-01-01,1914WOODEND,,,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
232,Yarram,NM,1914-01-01,1914YARRAM,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
233,Yarrawonga,NM,1914-01-01,1914YARRAWONGA,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
234,Melbourne,M,1915-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,1.5,,,,,,,,,,,,,,,,,,,,,,2.75
235,Metro,M,1915-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,6,3,3,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.444444444
236,North Melbourne,M,1915-01-01,1915NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
237,Ararat,NM,1915-01-01,1915ARARAT,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
238,Bairnsdale,NM,1915-01-01,1915BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
239,Ballarat,NM,1915-01-01,Electric Supply Company of Victoria Limited,,,6,3,9,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,4.333333333
240,Bendigo,NM,1915-01-01,Electric Supply Company of Victoria Limited,,,6.5,4,9,4,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.833333333
241,Karkarooc,NM,1915-01-01,1915KARKAROOC,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
242,Birchip,NM,1915-01-01,1915BIRCHIP,,,7,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5
243,Boxhill,M,1915-01-01,1915BOXHILL,,,6,1.5,,2,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,3
244,Braybrook,NM,1915-01-01,1915BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
245,Brunswick,M,1915-01-01,1915BRUNSWICK,,,5,2,5.5,2,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.166666667
246,Camperdown,NM,1915-01-01,1915CAMPERDOWN,,,8,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.8
247,Casterton,NM,1915-01-01,1915CASTERTON,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
248,Charlton,NM,1915-01-01,1915CHARLTON,,,8,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
249,Cobram,NM,1915-01-01,1915COBRAM,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
250,Coleraine,NM,1915-01-01,1915COLERAINE,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
251,Dandenong,NM,1915-01-01,1915DANDENONG,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
252,Daylesford,NM,1915-01-01,1915DAYLESFORD,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
253,Dimboola,NM,1915-01-01,1915DIMBOOLA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
254,Donald,NM,1915-01-01,1915DONALD,,,6,6,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
255,Drouin,NM,1915-01-01,1915DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
256,Eaglehawk,NM,1915-01-01,1915EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
257,Euroa,NM,1915-01-01,1915EUROA,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
258,Footscray,M,1915-01-01,1915FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
259,Scalemescogeel,M,1915-01-01,1915SCALEMESCOGEEL,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
260,Scalehamilton,NM,1915-01-01,1915SCALEHAMILTON,,,9,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
261,Heathcote,NM,1915-01-01,1915HEATHCOTE,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
262,Hopetoun,NM,1915-01-01,1915HOPETOUN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
263,Horsham,NM,1915-01-01,1915HORSHAM,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
264,Inglewood,NM,1915-01-01,1915INGLEWOOD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
265,Kerang,NM,1915-01-01,1915KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
266,Kilmore,NM,1915-01-01,1915KILMORE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
267,Koroit,NM,1915-01-01,1915KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
268,Poowong,NM,1915-01-01,1915POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
269,Kyabram,NM,1915-01-01,1915KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
270,Leon,NM,1915-01-01,1915LEON,,,7.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
271,Lilydale,NM,1915-01-01,1915LILYDALE,,,7,3,,2.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,3.625
272,Winchelsea,NM,1915-01-01,1915WINCHELSEA,,,2.630136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.630136986
273,Maffra,NM,1915-01-01,1915MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
274,Mansfield,NM,1915-01-01,1915MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
275,Mildura,NM,1915-01-01,1915MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
276,Mortlake,NM,1915-01-01,1915MORTLAKE,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
277,Goulburn,NM,1915-01-01,1915GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
278,Nathalia,NM,1915-01-01,1915NATHALIA,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
279,Nhill,NM,1915-01-01,1915NHILL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
280,Northcote,M,1915-01-01,1915NORTHCOTE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
281,Numurkah,NM,1915-01-01,1915NUMURKAH,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
282,Portmelbourne,M,1915-01-01,1915PORTMELBOURNE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
283,Preston,M,1915-01-01,1915PRESTON,,,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
284,Rainbow,NM,1915-01-01,1915RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
285,Rutherglen,NM,1915-01-01,1915RUTHERGLEN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
286,Rochester,NM,1915-01-01,1915ROCHESTER,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
287,Sealake,NM,1915-01-01,1915SEALAKE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
288,Shepparton,NM,1915-01-01,1915SHEPPARTON,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
289,Sunbury,NM,1915-01-01,1915SUNBURY,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
290,Swanhill,NM,1915-01-01,1915SWANHILL,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
291,Tatura,NM,1915-01-01,1915TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
292,Terang,NM,1915-01-01,1915TERANG,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
293,Toora,NM,1915-01-01,1915TOORA,7,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
294,Wodonga,NM,1915-01-01,Wodonga,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
295,Woodend,NM,1915-01-01,1915WOODEND,,,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
296,Wycheproof,NM,1915-01-01,1915WYCHEPROOF,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
297,Yarram,NM,1915-01-01,1915YARRAM,,,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
298,Yarrawonga,NM,1915-01-01,1915YARRAWONGA,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
299,Melbourne,M,1916-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,1.5,,,,,,,,,,,,,,,,,,,,,,2.75
300,Metro,M,1916-01-01,Melbourne Electric Supply Co. Ltd.,,,5,2,7,1,6,3,3,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.388888889
301,Nmelbelectram,M,1916-01-01,1916NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
302,Ararat,NM,1916-01-01,1916ARARAT,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
303,Bairnsdale,NM,1916-01-01,1916BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
304,Ballarat,NM,1916-01-01,Electric Supply Company of Victoria Limited,,,6,3,9,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,4.333333333
305,Bendigo,NM,1916-01-01,Electric Supply Company of Victoria Limited,,,6.5,4,9,4,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.833333333
306,Karkarooc,NM,1916-01-01,1916KARKAROOC,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
307,Birchip,NM,1916-01-01,1916BIRCHIP,,,7,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5
308,Boxhill,M,1916-01-01,1916BOXHILL,,,6,1.5,,2,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,3
309,Braybrook,NM,1916-01-01,1916BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
310,Brunswick,M,1916-01-01,1916BRUNSWICK,,,5,2,5.5,2,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.166666667
311,Camperdown,NM,1916-01-01,1916CAMPERDOWN,,,8,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.8
312,Casterton,NM,1916-01-01,1916CASTERTON,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
313,Charlton,NM,1916-01-01,1916CHARLTON,,,8,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
314,Cobram,NM,1916-01-01,1916COBRAM,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
315,Coleraine,NM,1916-01-01,1916COLERAINE,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
316,Dandenong,NM,1916-01-01,1916DANDENONG,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
317,Dimboola,NM,1916-01-01,1916DIMBOOLA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
318,Daylesford,NM,1916-01-01,1916DAYLESFORD,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
319,Donald,NM,1916-01-01,1916DONALD,,,6,6,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
320,Drouin,NM,1916-01-01,1916DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
321,Eaglehawk,NM,1916-01-01,1916EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
322,Euroa,NM,1916-01-01,1916EUROA,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
323,Footscray,M,1916-01-01,1916FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
324,Scalemescogeel,M,1916-01-01,1916SCALEMESCOGEEL,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
325,Scalehamilton,NM,1916-01-01,1916SCALEHAMILTON,,,9,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333
326,Heathcote,NM,1916-01-01,1916HEATHCOTE,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
327,Heyfield,NM,1916-01-01,1916HEYFIELD,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
328,Hopetoun,NM,1916-01-01,1916HOPETOUN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
329,Horsham,NM,1916-01-01,1916HORSHAM,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
330,Inglewood,NM,1916-01-01,1916INGLEWOOD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
331,Jeparit,NM,1916-01-01,1916JEPARIT,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
332,Kerang,NM,1916-01-01,1916KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
333,Kilmore,NM,1916-01-01,1916KILMORE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
334,Koroit,NM,1916-01-01,1916KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
335,Poowong,NM,1916-01-01,1916POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
336,Kyabram,NM,1916-01-01,1916KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
337,Leon,NM,1916-01-01,1916LEON,,,7.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
338,Lilydale,NM,1916-01-01,1916LILYDALE,,,7,3,,2.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,3.625
339,Winchelsea,NM,1916-01-01,1916WINCHELSEA,,,2.630136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.630136986
340,Maffra,NM,1916-01-01,1916MAFFRA,,,9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
341,Mansfield,NM,1916-01-01,1916MANSFIELD,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
342,Mildura,NM,1916-01-01,1916MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
343,Mortlake,NM,1916-01-01,1916MORTLAKE,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
344,Goulburn,NM,1916-01-01,1916GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
345,Nathalia,NM,1916-01-01,1916NATHALIA,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
346,Nhill,NM,1916-01-01,1916NHILL,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
347,Northcote,M,1916-01-01,1916NORTHCOTE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
348,Numurkah,NM,1916-01-01,1916NUMURKAH,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
349,Portmelbourne,M,1916-01-01,1916PORTMELBOURNE,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
350,Preston,M,1916-01-01,1916PRESTON,,,5.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
351,Rainbow,NM,1916-01-01,1916RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
352,Rutherglen,NM,1916-01-01,1916RUTHERGLEN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
353,Rochester,NM,1916-01-01,1916ROCHESTER,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
354,Sealake,NM,1916-01-01,1916SEALAKE,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
355,Shepparton,NM,1916-01-01,1916SHEPPARTON,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
356,Sunbury,NM,1916-01-01,1916SUNBURY,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
357,Swanhill,NM,1916-01-01,1916SWANHILL,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
358,Tatura,NM,1916-01-01,1916TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
359,Terang,NM,1916-01-01,1916TERANG,,,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
360,Toora,NM,1916-01-01,1916TOORA,7,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666667
361,Wodonga,NM,1916-01-01,Wodonga,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
362,Woodend,NM,1916-01-01,1916WOODEND,,,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
363,Wycheproof,NM,1916-01-01,1916WYCHEPROOF,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
364,Yarram,NM,1916-01-01,1916YARRAM,,,8,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333333333
365,Yarrawonga,NM,1916-01-01,1916YARRAWONGA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
366,Melbourne,M,1917-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,1.5,,,,,,,,,,,,,,,,,,,,,,2.75
367,Metro,M,1917-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,6,3,3,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.444444444
368,North Melbourne,M,1917-01-01,1917NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
369,Ararat,NM,1917-01-01,1917ARARAT,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
370,Bairnsdale,NM,1917-01-01,1917BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
371,Ballarat,NM,1917-01-01,Electric Supply Company of Victoria Limited,,,6,3,9,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,4.333333333
372,Bendigo,NM,1917-01-01,Electric Supply Company of Victoria Limited,,,6.5,4,9,4,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.833333333
373,Karkarooc,NM,1917-01-01,1917KARKAROOC,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
374,Birchip,NM,1917-01-01,1917BIRCHIP,,,9,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6
375,Boxhill,M,1917-01-01,1917BOXHILL,,,6,1.5,,2,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,3
376,Braybrook,NM,1917-01-01,1917BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
377,Brunswick,M,1917-01-01,1917BRUNSWICK,,,5,2,5.5,2,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.166666667
378,Camperdown,NM,1917-01-01,1917CAMPERDOWN,,,8,4,6,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,4.8
379,Casterton,NM,1917-01-01,1917CASTERTON,,,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
380,Charlton,NM,1917-01-01,1917CHARLTON,,,9,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.833333333
381,Cobram,NM,1917-01-01,1917COBRAM,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
382,Coleraine,NM,1917-01-01,1917COLERAINE,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
383,Dandenong,NM,1917-01-01,1917DANDENONG,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
384,Daylesford,NM,1917-01-01,1917DAYLESFORD,,,8,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
385,Dimboola,NM,1917-01-01,1917DIMBOOLA,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
386,Donald,NM,1917-01-01,1917DONALD,,,6,6,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
387,Drouin,NM,1917-01-01,1917DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
388,Eaglehawk,NM,1917-01-01,1917EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
389,Euroa,NM,1917-01-01,1917EUROA,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
390,Footscray,M,1917-01-01,1917FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
391,Scalemescogeel,M,1917-01-01,1917SCALEMESCOGEEL,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
