C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,NEMMCO,PUBLIC,2012/01/09,12:10:29,0000000234000629,,0000000234000625
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",NEM,522715.75052634,475055.81323748,0.9088
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",NSW1,162294.913215,146830.12392247,0.9047
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",QLD1,149688.00981232,122819.80507182,0.8205
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",SA1,36238.40986401,19868.85669008,0.5483
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",TAS1,27852.073598,4514.84131489,0.1621
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/15 00:00:00",VIC1,146642.34403701,181022.18623822,1.2344
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",NEM,523730.04313083,477686.7406937,0.9121
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",NSW1,168007.022317,152258.21157219,0.9063
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",QLD1,147506.75121532,122123.30060935,0.8279
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",SA1,39452.74907501,20393.98296643,0.5169
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",TAS1,26352.2186625,4464.04059595,0.1694
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/16 00:00:00",VIC1,142411.301861,178447.20494978,1.253
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",NEM,487063.96034639,453299.57298537,0.9307
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",NSW1,145893.59411201,136790.0473159,0.9376
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",QLD1,142291.0230464,117315.44829981,0.8245
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",SA1,36080.663985,17267.36363823,0.4786
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",TAS1,26254.21583199,4510.50852142,0.1718
D,CO2EII,PUBLISHING,1,2011,51,"2011/12/17 00:00:00",VIC1,136544.46337099,177416.20521001,1.2993
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",NEM,464074.97513292,441804.59623124,0.952
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",NSW1,135227.34565601,126571.82167016,0.936
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",QLD1,134013.6352879,110738.84750351,0.8263
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",SA1,32368.997746,15072.67980381,0.4657
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",TAS1,20848.201494,4077.6775702,0.1956
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/18 00:00:00",VIC1,141616.79494901,185343.56968356,1.3088
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",NEM,521403.74505567,484551.35858155,0.9293
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",NSW1,167557.81693701,148118.16833088,0.884
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",QLD1,142687.22690866,116387.56061374,0.8157
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",SA1,30732.77322099,19133.69393343,0.6226
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",TAS1,26890.788463,4496.1106265,0.1672
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/19 00:00:00",VIC1,153535.13952601,196415.825077,1.2793
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/20 00:00:00",NEM,524507.62389448,494352.80034051,0.9425
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/20 00:00:00",NSW1,166633.598087,152479.87119927,0.9151
D,CO2EII,PUBLISHING,1,2011,52,"2011/12/20 00:00:00",QLD1,154294.405988,126901.88848935,0.8225
