C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
D,CO2EII,PUBLISHING,1,2015,31,01/08/2015 00:00,VIC1,131917.2568,158962.3883,1.205
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,NEM,479555.8247,410197.9215,0.8554
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,NSW1,146385.9789,128288.6295,0.8764
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,QLD1,131249.4516,117575.752,0.8958
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,SA1,30982.4123,8492.490581,0.2741
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,TAS1,37864.07617,2.33738842,0.0001
D,CO2EII,PUBLISHING,1,2015,32,02/08/2015 00:00,VIC1,133073.9057,155838.712,1.1711
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,NEM,549662.8514,463376.3348,0.843
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,NSW1,181379.7674,159448.209,0.8791
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,QLD1,146749.2482,129189.565,0.8803
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,SA1,34459.27171,13965.64864,0.4053
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,TAS1,45543.89312,78.86320231,0.0017
D,CO2EII,PUBLISHING,1,2015,32,03/08/2015 00:00,VIC1,141530.671,160694.0489,1.1354
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,NEM,573902.7206,488224.2413,0.8507
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,NSW1,192950.5842,174740.3614,0.9056
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,QLD1,153728.7545,133846.7991,0.8707
D,CO2EII,PUBLISHING,1,2015,32,04/08/2015 00:00,SA1,34022.25626,17066.86386,0.5016
