Id,Name,Registration date,Change Date
300,H.R.L. MORRISON & CO (AUSTRALIA) NO 1 PTY LIMITED,,
301,HRL MORRISON & CO (AUSTRALIA) PTY LTD,,
302,MORRISON & CO ADVISORY SERVICES PTY LIMITED,,
303,Skyfirst Power SDN. BHD. (part of Malakoff Corporation Berhad group),2013-04-01,2020-11-24
304,WIND MACARTHUR HOLDINGS (T) PTY LIMITED,2013-06-05,2020-11-24
305,WIND MACARTHUR HOLDINGS (T) PTY LIMITED,,
306,WIND MACARTHUR (T) PTY LIMITED,,
307,WIND MACARTHUR FINCO PTY LIMITED,,
308,MALAKOFF HOLDINGS PTY LTD,2013-06-07,2020-11-24
309,MALAKOFF HOLDINGS PTY LTD,,
310,MALAKOFF WIND MACARTHUR HOLDINGS PTY LIMITED,,
311,Three River Holdings Pty Limited,,
312,MERIDIAN ENERGY AUSTRALIA PTY LIMITED,,
313,MALAKOFF WIND MACARTHUR PTY LIMITED ,2013-06-28,2021-08-23
314,MERIDIAN WIND MACARTHUR PTY LIMITED,2013-02-21,2013-06-28
315,Three River Australia Pty Limited,,
316,DEUTSCHE LIFE LIMITED,2000-05-29,2000-06-22
317,CHALLENGER LIFE NO. 2 LIMITED,,
318,CHALLENGER LIFE COMPANY LIMITED,,
319,RES AUSTRALIA PTY LTD,,
320,GE SMALLWORLD (AUSTRALIA) PTY LTD,,
321,GE ENERGY AUSTRALIA PTY LTD,,
322,DOWNER EDI LIMITED,2000-05-29,2021-08-23
323,"Partners Group Private Markets (Australia) Pty. Ltd., Australia",2018-07-01,2021-08-23
324,OPTrust (The Trustee for OP Trust),2019-02-14,2021-08-23
325,Energy Infrastructure Trust (Infrastructure Capital Group),2005-04-01,2020-11-24
326,BABCOCK & BROWN WIND PARTNERS LIMITED,,
327,INFIGEN ENERGY LIMITED,,
328,EURUS ENERGY AUSTRALIA DEVELOPMENT PTY LTD,,
329,EURUS ENERGY AUSTRALIA PTY LTD (Eurus Technical Service Corporation),,
330,TOYOTA TSUSHO (AUSTRALASIA) PTY LTD,,
331,TOYOTA TSUSHO (AUSTRALASIA) PTY LIMITED,,
332,TOYOTA TSUSHO (AUSTRALASIA) PTY. LIMITED,,
333,Tokyo Electric Power Company ( TEPCO Australia Pty Ltd),,
334,TRANSFIELD SERVICES INFRASTRUCTURE LIMITED,2008-11-20,2011-07-15
335,RATCH - AUSTRALIA CORPORATION LIMITED,,
336,RATCH - AUSTRALIA CORPORATION PTY LTD (Ratchaburi Electricity Generation),,
337,FERROVIAL SERVICES AUSTRALIA PTY LTD,,
338,NEOEN AUSTRALIA PTY. LTD.,,
339,NATIONAL ELECTRICITY MARKET MANAGEMENT COMPANY LIMITED,,
340,AEMO (Australian Energy Market Operator),,
341,COAG Energy Council,,
342,AER (Australian Energy Regulator),2005-07-01,2020-11-24
343,ACCC (Australian Compettition and Consumer Commission),1999-11-01,2021-08-23
344,AEMC (Australian Energy Market Commission),2004-06-02,2021-08-23
345,Energy Networks Australia (ENA) - Energy Networks Association Limited,,
346,Energy Consumers Australia (ECA) - ENERGY CONSUMERS AUSTRALIA LIMITED,,
347,Infratil Energy Australia Pty Ltd,,
348,LUMO GENERATION SA PTY LTD,,
349,SELLICKS HILL WIND FARM PTY LTD,2002-07-08,2014-06-23
350,GSP Energy Pty Ltd ,2014-06-23,2021-08-23
351,Industry Funds Management - INDUSTRY FUNDS MANAGEMENT PTY LTD,2004-03-01,2013-10-18
352,IFM INVESTORS PTY LTD,,
353,Mt Mercer Windfarm Pty Ltd,,
354,PACIFIC HYDRO PTY LTD,2000-02-15,2020-11-24
355,TXU (NO. 15) PTY LTD,,
356,DATA AND MEASUREMENT SOLUTIONS PTY LTD,,
357,SELECT SOLUTIONS GROUP PTY LTD,,
358,MONDO POWER PTY LTD,,
359,State Grid Corporation of China,2013-07-09,2021-08-23
360,CK Group (CK Asset Holdings Limited(CKA)) - CK HK HOLDINGS PTY. LTD.,2015-08-25,2021-08-23
361,CKI UTILITIES HOLDINGS LIMITED,,
362,SPARK INFRASTRUCTURE SA (NO1) PTY LIMITED,2019-09-13,2021-08-23
363,Spark Infrastructure Holdings No. 1 Limited,,
364,SPARK INFRASTRUCTURE HOLDINGS NO. 1 PTY LIMITED - Spark Infrastructure,,
365,TRANSMISSION OPERATIONS (AUSTRALIA) 2 PTY LTD,,
366,Australian Gas Networks (Vic) Pty Ltd,2000-05-17,2021-08-23
367,Power Asset Holdings Limited (PAH) - owner of Australian Gas Networks and other infrastructure,,
368,HSBC Custody Nominees Limited - HSBC CUSTODY NOMINEES (AUSTRALIA) LIMITED,,
369,JP Morgan - J.P. MORGAN AUSTRALIA LIMITED,,
370,J.P. MORGAN SECURITIES LLC,2015-02-01,2020-11-24
371,BALLARAT HEALTH SERVICES (Ballarat Base Hospital),,
372,Select Harvests Limited,,
373,ASX (Australian Securities Exchange) - ASX FUTURES EXCHANGE PTY LIMITED,,
374,ASX LIMITED,,
375,INTERNATIONAL POWER (AUSTRALIA) PTY LTD,2002-08-23,2021-08-23
376,GDF SUEZ Australian Energy Pty Ltd - GDFSAE,,
377,GDF SUEZ  S.A,,
378,ENGIE SERVICES AUSTRALIA PTY LIMITED,2016-04-27,2020-11-24
379,Australian Energy Foundation,2019-09-04,2020-11-24
380,Ararat Wind Farm Pty Ltd,,
381,Bayswood Timber - BAYSWOOD TIMBER WHOLESALERS PTY. LTD. ,,
382,Berrybank Development Pty Ltd,,
383,Bulgana Wind Farm Pty Ltd,,
384,Cedar Meats - CEDAR MEATS (AUST) PTY. LIMITED - Cedar Meats Trust,,
385,Chepstowe Wind Farm Pty Ltd,,
386,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,,
387,Cogent Energy Pty Ltd,,
388,Cohuna Solar Farm Pty. Ltd,,
389,Coonooer Bridge Wind Farm Pty Ltd,,
390,Diamond Energy Pty Ltd,,
391,DIAMOND ENERGY GENERATION PTY LTD,,
392,DIAMOND ENERGY RETAIL PTY. LTD.,,
393,DIAMOND ENERGY SOLUTIONS PTY. LTD. ,,
394,EDL LFG Vic Pty Ltd,,
395,CLP AUSTRALIA HOLDINGS PTY LTD ,,
396,TRUENERGY HOLDINGS PTY LTD,,
397,EnergyAustralia Holdings Pty Ltd,,
398,Energy Pacific Vic Pty Ltd,,
399,Foresight Solar Australia Pty Ltd,,
400,Future Energy Pty Ltd,,
401,FEZERO PTY LTD,,
402,Gannawarra Solar Farm Pty Ltd,,
403,Goldwind Australia Pty Ltd,,
404,GreenPower Accredited Renewable Energy,1997-01-01,2020-11-24
405,Hepburn Community Wind Park Co-operative Limited,2007-10-01,2020-11-24
406,EDISON MISSION ENERGY AUSTRALIA LTD & MISSION VICTORIA,,
407,LATROBE POWER PARTNERSHIP,,
