ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1957-03-01,9.717929724E7,30.940000534057617,0.0,170490.65625927434,658789.0,42.0
1,1957-04-01,9.33499389E7,30.940000534057617,0.0,163772.4663358449,661605.0,42.0
1,1957-05-01,1.0025610204E8,30.940000534057617,0.0,175888.58344632533,664421.0,42.0
1,1957-06-01,9.597648015E7,30.940000534057617,0.0,172952.77295559976,667237.0,42.0
1,1957-07-01,1.0259528442E8,30.940000534057617,0.0,184880.06953724564,670053.0,42.0
1,1957-08-01,1.0267516122000001E8,30.940000534057617,0.0,185024.0294035719,672869.0,42.0
1,1957-09-01,9.248327562000002E7,30.940000534057617,0.0,166657.91516011147,675685.0,42.0
1,1957-10-01,9.715406022E7,30.940000534057617,0.0,175074.80495660924,678501.0,42.0
1,1957-11-01,9.320305496999998E7,30.940000534057617,0.0,167954.98130576985,681317.0,42.0
1,1957-12-01,9.099052371000001E7,30.940000534057617,0.0,163967.92413704493,684133.0,42.0
1,1958-01-01,1.1042907299999999E8,31.46000099182129,0.0,205529.6980664892,686959.0,42.0
1,1958-02-01,1.0622540904E8,31.46000099182129,0.0,197705.89259942324,688737.0,42.0
1,1958-03-01,1.0361829992999999E8,31.46000099182129,0.0,192853.5228521298,690515.0,42.0
1,1958-04-01,1.0067912139E8,31.46000099182129,0.0,187383.16693907333,692293.0,42.0
1,1958-05-01,1.0638934484999998E8,31.46000099182129,0.0,198010.98211199924,694071.0,42.0
1,1958-06-01,1.0652477411999999E8,31.46000099182129,0.0,195471.11359543382,695849.0,40.0
1,1958-07-01,1.1042513385E8,31.46000099182129,0.0,202628.18537158202,697627.0,40.0
1,1958-08-01,1.0436996313000001E8,31.46000099182129,0.0,191517.04676945033,699405.0,40.0
1,1958-09-01,1.0033417539E8,31.46000099182129,0.0,184111.46605707548,701183.0,40.0
1,1958-10-01,1.0426021511999999E8,31.46000099182129,0.0,191315.66110125912,702961.0,40.0
1,1958-11-01,1.0219408041E8,31.46000099182129,0.0,187524.35309133545,704739.0,38.0
1,1958-12-01,1.0311790644000001E8,31.46000099182129,0.0,189219.54476345595,706517.0,38.0
1,1959-01-01,1.1181371871E8,31.46000099182129,0.0,210992.95361209667,708296.0,37.0
1,1959-02-01,1.1278124282999998E8,31.46000099182129,0.0,212818.68263231378,710745.0,37.0
1,1959-03-01,1.1405956614E8,31.46000099182129,0.0,215230.8770805651,713194.0,37.0
1,1959-04-01,1.0795378677E8,31.46000099182129,0.0,198846.37011822598,715643.0,37.0
1,1959-05-01,1.1482962017999999E8,31.46000099182129,0.0,211511.3683181416,718092.0,37.0
1,1959-06-01,1.1454264542999998E8,31.46000099182129,0.0,210982.77280463112,720541.0,35.0
1,1959-07-01,1.2016686617999999E8,31.46000099182129,0.0,221342.35271694872,722990.0,35.0
1,1959-08-01,1.1901410484E8,31.46000099182129,0.0,219219.01443554144,725439.0,35.0
1,1959-09-01,1.1232128187000002E8,31.46000099182129,0.0,206891.13488865807,727888.0,35.0
1,1959-10-01,1.1104405433999999E8,31.46000099182129,0.0,204538.51401955815,730337.0,34.0
1,1959-11-01,1.0818605622E8,31.46000099182129,0.0,199274.2074380675,732786.0,34.0
1,1959-12-01,1.0728822447E8,31.46000099182129,0.0,197620.43213677747,735235.0,34.0
1,1960-01-01,1.2609223086E8,29.400001525878906,0.0,222530.4789933934,737684.0,34.0
1,1960-02-01,1.2322215404999998E8,29.400001525878906,0.0,217465.32049931833,740215.0,34.0
1,1960-03-01,1.1982980666999999E8,29.400001525878906,0.0,211478.40455511818,742746.0,34.0
1,1960-04-01,1.1513533863E8,29.400001525878906,0.0,203193.5171935106,745277.0,34.0
1,1960-05-01,1.2607285805999999E8,29.400001525878906,0.0,222496.30527576996,747808.0,34.0
1,1960-06-01,1.2434671688999999E8,29.400001525878906,0.0,219449.97128589076,750339.0,33.0
1,1960-07-01,1.3175927964E8,29.400001525878906,0.0,232531.83402683766,752870.0,33.0
1,1960-08-01,1.2731851313999999E8,29.400001525878906,0.0,224694.65026142728,755401.0,33.0
1,1960-09-01,1.1920221758999999E8,29.400001525878906,0.0,210370.82456594266,757932.0,33.0
1,1960-10-01,1.2168500802E8,29.400001525878906,0.0,214752.5257103102,760463.0,33.0
1,1960-11-01,1.1932615163999999E8,29.400001525878906,0.0,210589.54255032595,762994.0,32.0
1,1960-12-01,1.2042008660999998E8,29.400001525878906,0.0,212520.18191233368,765525.0,32.0
1,1961-01-01,1.3623382014E8,29.400001525878906,0.0,246355.7024181503,768061.0,32.0
1,1961-02-01,1.4454582642E8,29.400001525878906,0.0,261386.53447066023,770397.0,32.0
1,1961-03-01,1.3280257419000001E8,29.400001525878906,0.0,240150.8607757618,772733.0,32.0
1,1961-04-01,1.2561011390999997E8,29.400001525878906,0.0,227144.5042750853,775069.0,32.0
1,1961-05-01,1.3745370798E8,29.400001525878906,0.0,248561.66642929765,777405.0,32.0
1,1961-06-01,1.3387643150999999E8,29.400001525878906,0.0,236973.72807284034,779741.0,31.0
1,1961-07-01,1.3709501769E8,29.400001525878906,0.0,242670.94625934213,782077.0,31.0
1,1961-08-01,1.3556372742E8,29.400001525878906,0.0,239960.41571369075,784413.0,31.0
1,1961-09-01,1.2522867006E8,29.400001525878906,0.0,221666.40220632422,786749.0,31.0
1,1961-10-01,1.2885066089999999E8,29.400001525878906,0.0,228077.66312558803,789085.0,31.0
1,1961-11-01,1.2715211661E8,29.400001525878906,0.0,225071.08556197825,791421.0,31.0
1,1961-12-01,1.2545879060999997E8,29.400001525878906,0.0,222073.75664573046,793757.0,30.0
1,1962-01-01,1.352110365E8,29.400001525878906,0.0,240508.8393034137,796099.0,30.0
1,1962-02-01,1.4398162007999998E8,29.400001525878906,0.0,256109.6806256395,798504.0,30.0
1,1962-03-01,1.3493983428E8,29.400001525878906,0.0,240026.4339255901,800909.0,30.0
1,1962-04-01,1.3104497964000002E8,29.400001525878906,0.0,233098.39357855037,803314.0,30.0
1,1962-05-01,1.4260235244E8,29.400001525878906,0.0,253656.28116374052,805719.0,30.0
1,1962-06-01,1.4064836708999997E8,29.400001525878906,0.0,237947.886811508,808124.0,28.0
1,1962-07-01,1.4326650890999997E8,29.400001525878906,0.0,242377.23571674371,810529.0,28.0
1,1962-08-01,1.4022944973E8,29.400001525878906,0.0,237239.16112864175,812934.0,28.0
1,1962-09-01,1.2945083637E8,29.400001525878906,0.0,219004.0018671097,815339.0,28.0
1,1962-10-01,1.3345526507999998E8,29.400001525878906,0.0,225778.66580342385,817744.0,28.0
1,1962-11-01,1.3092332349000001E8,29.400001525878906,0.0,221495.1491221152,820149.0,28.0
1,1962-12-01,1.3176334899E8,29.400001525878906,0.0,222916.27359356725,822554.0,28.0
1,1963-01-01,1.7187258554999998E8,29.400001525878906,0.0,297589.34985160147,824968.0,28.0
1,1963-02-01,1.5855108105E8,29.400001525878906,0.0,274523.75762861583,826931.0,28.0
1,1963-03-01,1.5647209092000002E8,29.400001525878906,0.0,270924.09343473194,828894.0,28.0
1,1963-04-01,1.4638130766E8,29.400001525878906,0.0,253452.37505551238,830857.0,28.0
1,1963-05-01,1.5662010057000002E8,29.400001525878906,0.0,271180.35552901146,832820.0,28.0
1,1963-06-01,1.5701984799E8,29.400001525878906,0.0,271872.47969378124,834783.0,26.0
1,1963-07-01,1.6411516692E8,29.400001525878906,0.0,284157.74201698945,836746.0,26.0
1,1963-08-01,1.577483424E8,29.400001525878906,0.0,273133.80878932273,838709.0,26.0
1,1963-09-01,1.449456012E8,29.400001525878906,0.0,250966.512115704,840672.0,26.0
1,1963-10-01,1.515695112E8,29.400001525878906,0.0,262435.5016918315,842635.0,26.0
1,1963-11-01,1.4549301294E8,29.400001525878906,0.0,251914.3298758955,844598.0,26.0
1,1963-12-01,1.4533652388E8,29.400001525878906,0.0,251643.39916535892,846561.0,26.0
1,1964-01-01,1.7122492086E8,28.200000762939453,0.0,209284.59026872317,848526.0,26.0
1,1964-02-01,1.8200107419000003E8,28.200000762939453,0.0,222456.06543460724,851377.0,26.0
1,1964-03-01,1.7302566704999998E8,28.200000762939453,0.0,211485.6041553656,854228.0,26.0
1,1964-04-01,1.7190962855999997E8,28.200000762939453,0.0,210121.4886604397,857079.0,26.0
1,1964-05-01,1.8039573021E8,28.200000762939453,0.0,220493.887425223,859930.0,26.0
1,1964-06-01,1.8023369394E8,28.200000762939453,0.0,220295.80290923206,862781.0,24.0
1,1964-07-01,1.9300129602E8,28.200000762939453,0.0,235901.4040299996,865632.0,24.0
1,1964-08-01,1.8393705771E8,28.200000762939453,0.0,224822.3455181224,868483.0,24.0
1,1964-09-01,1.7016912590999997E8,28.200000762939453,0.0,207994.10922917185,871334.0,24.0
1,1964-10-01,1.7322717458999997E8,28.200000762939453,0.0,211731.89719614093,874185.0,23.0
1,1964-11-01,1.6510664610000002E8,28.200000762939453,0.0,201806.3269007764,877036.0,23.0
1,1964-12-01,1.7924127792E8,28.200000762939453,0.0,219082.82479656357,879887.0,23.0
1,1965-01-01,2.0142399603E8,23.099998474121094,0.0,250807.80783187866,882746.0,23.0
1,1965-02-01,2.0667808785E8,23.099998474121094,0.0,257350.07634933607,885344.0,23.0
