ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2015-05-01,1287340.548,77.87805938720703,1219792.954572945,2471761.0
1,2015-06-01,1288325.2604999996,77.7044677734375,1268726.8134839812,2474867.0
1,2015-07-01,1399844.343,97.11087799072266,1381208.5656478368,2477973.0
1,2015-08-01,1331905.9064999998,77.26856994628906,1190329.6432575753,2481079.0
1,2015-09-01,1206682.872,77.1229248046875,789294.3557754953,2484185.0
1,2015-10-01,1196962.779,54.245182037353516,469565.99959044706,2487291.0
1,2015-11-01,1148702.202,54.240379333496094,383671.2040193782,2490397.0
1,2015-12-01,1266779.3985,54.26186752319336,81114.44372195702,2493503.0
1,2016-01-01,1227454.4895,54.39167785644531,350445.25719594024,2496611.0
1,2016-02-01,1174805.2079999999,54.42759323120117,390440.86638823163,2499727.0
1,2016-03-01,1248635.2559999998,77.6142349243164,776936.0608010083,2502843.0
1,2016-04-01,1142055.1665,77.64354705810547,847214.195147386,2505959.0
1,2016-05-01,1256024.112,77.58479309082031,1148507.8311641626,2509075.0
1,2016-06-01,1306174.56,98.53511047363281,1292375.8143278714,2512191.0
1,2016-07-01,1360931.454,98.4530029296875,1312283.059984258,2515307.0
1,2016-08-01,1331183.028,76.97634887695312,1125604.8200619058,2518423.0
1,2016-09-01,1209645.1485,76.82452392578125,884601.1430176742,2521539.0
1,2016-10-01,1221461.358,54.089229583740234,607504.6493331497,2524655.0
1,2016-11-01,1163871.2175,54.0505256652832,481532.8355147043,2527771.0
1,2016-12-01,1132090.3575,54.03989791870117,129615.530036346,2530887.0
1,2017-01-01,1170555.162,54.14598083496094,153643.984522952,2534003.0
1,2017-02-01,1082948.079,54.24566650390625,308193.18618155713,2537129.0
1,2017-03-01,1217336.541,77.22746276855469,647978.7670161219,2540255.0
1,2017-04-01,1057919.244,77.3104019165039,812379.7046609578,2543381.0
1,2017-05-01,1217921.4255,96.52191162109375,1092881.9026740964,2546507.0
1,2017-06-01,1247933.442,98.50436401367188,1200177.4738600657,2549633.0
1,2017-07-01,1338735.687,99.64757537841797,1107454.4675482453,2552759.0
1,2017-08-01,1325253.8144999999,99.42577362060547,970298.146551742,2555885.0
1,2017-09-01,1250592.4949999999,97.58051300048828,718792.0741278438,2559011.0
1,2017-10-01,1166424.7545,76.24686431884766,363153.6742719198,2562137.0
1,2017-11-01,1195730.4945,76.10565948486328,237619.29452330124,2565263.0
1,2017-12-01,1190482.6919999998,76.0393295288086,173787.24969801353,2568389.0
1,2018-01-01,1296772.02,76.02391052246094,211673.01907645108,2571515.0
